mhz,zreal,zimag,zmag,zphase,vswr,s11,s11_real,s11_imag,s11_ang,gain_max,gain_net,gain_max_theta,gain_max_phi,gain_viewer,gain_viewer_net,fb_ratio
144.61999999999995,202.56495429406601,248.04023845801632,320.24447005758998,50.762804776997655,10.275304794470953,-1.6960020152600233,-1.6960020152600221,2.11068277484959,13.922950891910885,5.4889436545713322,0.58492488773902362,80,0,-11.014709106892674,-15.918727873724983,0.15912103793369212
144.70199999999994,203.12289595189446,248.61999009813667,321.04643018772492,50.751127196059656,10.297662660140327,-1.6922963583480568,-1.6922963583480564,2.1050255415202095,13.885633402628457,5.4777501102359958,0.56596457313371484,80,0,-11.018407227047554,-15.930192764149835,0.15964755827376642
144.78399999999993,203.68152243080866,249.19929715916689,321.8484927483035,50.739363330089432,10.319995800001577,-1.6886109815276602,-1.6886109815276586,2.0993934743271834,13.84848191976101,5.4663962648665052,0.5468660692150511,80,0,-11.022075583347132,-15.941605778998586,0.16017518655937715
144.86599999999993,204.24083076050394,249.7781672236776,322.65066212757142,50.72751509397353,10.342304675624531,-1.6849456494928383,-1.6849456494928381,2.0937864122364602,13.811495381060235,5.4548818221875699,0.52762882976886605,80,0,-11.025714086409639,-15.952967078828344,0.16070392082127685
144.94799999999992,204.80081806304028,250.35660797465135,323.45294284619484,50.715584382983344,10.364589751695204,-1.6813001294280503,-1.6813001294280503,2.0882041947691556,13.774672727939949,5.4432064781225176,0.50825230137731214,80,0,-11.029322648407284,-15.964276825152488,0.16123375911273868
145.02999999999992,205.36148155398834,250.93462719422314,324.25533955688815,50.703573072749698,10.386851495927232,-1.6776741909864923,-1.677674190986493,2.0826466620034987,13.738012905488922,5.4366352030649887,0.49400120571367623,75,0,-11.032901183065182,-15.975535180416493,0.2431241000392827
145.11199999999991,205.92281854428072,251.51223276390249,325.05785704564079,50.691483019306979,10.409090379039341,-1.6740676062580033,-1.6740676062580042,2.0771136545682669,13.701514862427571,5.4306938713855928,0.48040116904920094,75,0,-11.036449605660081,-15.986742307996472,0.24392692131135713
145.1939999999999,206.48482644135953,252.0894326632791,325.86050023132952,50.679316059063886,10.431306874666801,-1.6704801497481832,-1.6704801497481825,2.0716050136445938,13.665177551119889,5.4246077903590812,0.46667725120317893,75,0,-11.039967833019412,-15.997898372175314,0.24473141402873644
145.2759999999999,207.04750275083791,252.66623496983297,326.66327416651706,50.667074008827555,10.453501459322554,-1.666911598349833,-1.6669115983498326,2.0661205809615453,13.62899992754426,5.4183768419570981,0.45282908734140559,75,0,-11.043455783519789,-16.009003538135481,0.24553757546014926
145.35799999999989,207.61084507805376,253.24264785839264,327.46618403791484,50.654758665803101,10.475674612342965,-1.6633617313173554,-1.6633617313173545,2.0606601987931676,13.592980951273983,5.4120009016050119,0.43885630674393195,75,0,-11.046913377085648,-16.020057971946727,0.24634540291394108
145.43999999999988,208.17485112926943,253.81867960006309,328.26923516621684,50.642371807582457,10.497826815812401,-1.6598303302449327,-1.6598303302449331,2.0552237099591761,13.557119585481827,5.4054798381661451,0.42475853280746101,75,0,-11.050340535187759,-16.031061840546442,0.24715489373913252
145.52199999999988,208.73951871341288,254.39433856205392,329.0724330069782,50.629915192159849,10.519958554526839,-1.6563171790388596,-1.6563171790388593,2.0498109578197163,13.521414796905459,5.3988135139253508,0.41053538303354387,75,0,-11.053737180841779,-16.042015311733586,0.24796604532685285
145.60399999999987,209.30484574348262,254.96963320689363,329.87578315081106,50.617390557924729,10.542070315932055,-1.6528220638943707,-1.6528220638943703,2.0444217862737988,13.485865555837131,5.3920017845726163,0.39618646902558741,75,0,-11.057103238606439,-16.052918554153468,0.24877885511157247
145.68599999999986,209.87083023788188,255.54457209151815,330.67929132344369,50.604799623650543,10.56416259005705,-1.6493447732735764,-1.6493447732735769,2.0390560397584165,13.450470836117853,5.3850444991857858,0.38171139648641894,75,0,-11.060438634582102,-16.063771737281471,0.24959332057226433
145.76799999999986,210.43747032204442,256.11916386686318,331.4829633863593,50.592144088499964,10.586235869470071,-1.6458850978802215,-1.6458850978802215,2.0337135632444454,13.41522961511035,5.3779415002134385,0.36710976520830396,75,0,-11.063743296408759,-16.074575031413893,0.25040943923380887
145.84999999999985,211.00476422981328,256.69341727704125,332.28680533696235,50.579425632017575,10.608290649217663,-1.6424428306375107,-1.6424428306375094,2.028394202235142,13.38014087368915,5.3706926234571926,0.35238116906809314,75,0,-11.067017153264178,-16.085328607653278,0.25122720866818737
145.93199999999985,211.57271030492413,257.26734115860648,333.09082330888396,50.566645914118403,10.630327426767799,-1.6390177666656607,-1.639017766665662,2.023097802763592,13.345203596223763,5.3632976980533522,0.33752519602028741,75,0,-11.070260135862021,-16.096032637895085,0.25204662649581816
146.01399999999984,212.14130700250587,257.8409444400184,333.89502357245772,50.553806575095976,10.652346701963342,-1.6356097032582193,-1.6356097032582197,2.017824211389657,13.310416770558533,5.3557565464547521,0.32254142808672359,75,0,-11.073472176449897,-16.106687294817924,0.25286769038683243
146.09599999999983,212.7105528903995,258.41423614052042,334.69941253463247,50.540909235590739,10.674348976949659,-1.6322184398627595,-1.6322184398627586,2.0125732751992169,13.275779388007633,5.3480689844115714,0.30742944135395156,75,0,-11.076653208807194,-16.117292751864813,0.25369039806234456
146.17799999999983,213.28044665072852,258.9872253696563,335.5039967395432,50.527955496594792,10.696334756131627,-1.6288437780573704,-1.6288437780573706,2.0073448418003594,13.241290443329953,5.3402348209525519,0.29218880596102625,75,0,-11.079803168242766,-16.127849183234289,0.25451474729578538
